date,price
2019/3/20,175.5
2019/3/22,175.5
2019/3/25,173.6
2019/3/26,174.7
2019/3/27,171.4
2019/3/28,171.1
2019/3/29,171.3
2019/4/1,173.3
2019/4/2,174.1
2019/4/3,174.9
2019/4/4,174.8
2019/4/5,174.8
2019/4/8,174.1
2019/4/9,173.6
2019/4/10,172.6
2019/4/11,171.6
2019/4/12,171.7
2019/4/15,173.6
2019/4/16,173.6
2019/4/17,175.5
2019/4/18,175.6
2019/4/19,174.3
2019/4/22,174.2
2019/4/23,174.1
2019/4/24,172.8
2019/4/25,173
2019/4/26,173.5
2019/5/7,172.5
2019/5/8,170.4
2019/5/9,167.5
2019/5/10,167.3
2019/5/13,165.6
2019/5/14,165.2
2019/5/15,164.4
2019/5/16,161.9
2019/5/17,161
2019/5/20,158.8
2019/5/21,158
2019/5/22,157.6
2019/5/23,156.8
2019/5/24,157
2019/5/27,156.9
2019/5/28,157.3
2019/5/29,155.3
2019/5/30,155.9
2019/5/31,153.7
2019/6/3,151.6
2019/6/4,150.7
2019/6/5,153.1
2019/6/6,152.7
2019/6/7,152.6
2019/6/10,152.8
2019/6/11,154.4
2019/6/12,152.7
2019/6/13,152.3
2019/6/14,152.1
2019/6/17,151.4
2019/6/18,151.8
2019/6/19,153
2019/6/20,154.1
2019/6/21,154.4
2019/6/24,154.6
2019/6/25,153.8
2019/6/26,154.3
2019/6/27,156.3
2019/6/28,156.1
2019/7/1,157.7
2019/7/2,157.6
2019/7/3,157.1
2019/7/4,157.5
2019/7/5,157.8
2019/7/8,158.7
2019/7/9,159.3
2019/7/10,158.5
2019/7/11,158.8
2019/7/12,159.1
2019/7/16,158.6
2019/7/17,158
2019/7/18,155.9
2019/7/19,157.3
2019/7/22,158.5
2019/7/23,158
2019/7/24,158
2019/7/25,158
2019/7/26,157.4
2019/7/29,157.1
2019/7/30,157
2019/7/31,154.4
2019/8/1,159
2019/8/2,156.2
2019/8/5,155.9
2019/8/6,155.4
2019/8/7,155.5
2019/8/8,155.1
2019/8/9,155.4
2019/8/13,153.6
2019/8/14,154.1
2019/8/15,153.3
2019/8/16,153.8
2019/8/19,155.2
2019/8/20,156
2019/8/21,154.3
2019/8/22,154.3
2019/8/23,154.9
2019/8/26,152.9
2019/8/27,152.9
2019/8/28,152.8
2019/8/29,152.7
2019/8/30,154.7
2019/9/2,155.2
2019/9/3,155.1
2019/9/4,155.1
2019/9/5,157.4
2019/9/6,158.4
2019/9/10,164.2
2019/9/11,167.4
2019/9/12,167.9
2019/9/13,168
2019/9/17,168.9
2019/9/18,168.1
2019/9/19,168.5
2019/9/20,170.1
2019/9/24,170.5
