year,week,case
2014,11,0.20999999
2014,12,0.17
2014,13,0.23999999
2014,14,0.19
2014,15,0.2
2014,16,0.25999999
2014,17,0.23
2014,18,0.28999999
2014,19,0.18000001
2014,20,0.28999999
2014,21,0.25999999
2014,22,0.28
2014,23,0.25
2014,24,0.28999999
2014,25,0.25999999
2014,26,0.25999999
2014,27,0.28999999
2014,28,0.25999999
2014,29,0.23999999
2014,30,0.20999999
2014,31,0.23999999
2014,32,0.23999999
2014,33,0.25
2014,34,0.22
2014,35,0.23999999
2014,36,0.23
2014,37,0.30000001
2014,38,0.23999999
2014,39,0.28
2014,40,0.25999999
2014,41,0.33000001
2014,42,0.28999999
2014,43,0.31999999
2014,44,0.33000001
2014,45,0.27000001
2014,46,0.33000001
2014,47,0.38
2014,48,0.33000001
2014,49,0.41999999
2014,50,0.33000001
2014,51,0.31
2014,52,0.28
2015,1,0.11
2015,2,0.28
2015,3,0.27000001
2015,4,0.23
2015,5,0.22
2015,6,0.2
2015,7,0.20999999
2015,8,0.2
2015,9,0.23
2015,10,0.23
2015,11,0.2
2015,12,0.23
2015,13,0.25
2015,14,0.20999999
2015,15,0.2
2015,16,0.23999999
2015,17,0.28
2015,18,0.25999999
2015,19,0.22
2015,20,0.25
2015,21,0.25999999
2015,22,0.2
2015,23,0.23999999
2015,24,0.25
2015,25,0.27000001
2015,26,0.25999999
2015,27,0.30000001
2015,28,0.25
2015,29,0.34999999
2015,30,0.33000001
2015,31,0.34999999
2015,32,0.40000001
2015,33,0.5
2015,34,0.5
2015,35,0.47
2015,36,0.5
2015,37,0.47
2015,38,0.56
2015,39,0.5
2015,40,0.69999999
2015,41,0.68000001
2015,42,0.61000001
2015,43,0.75
2015,44,0.63999999
2015,45,0.68000001
2015,46,0.75999999
2015,47,0.68000001
2015,48,0.66000003
2015,49,0.85000002
2015,50,0.80000001
2015,51,0.76999998
2015,52,0.68000001
2016,1,0.91000003
2016,2,0.72000003
2016,3,0.57999998
2016,4,0.51999998
2016,5,0.55000001
2016,6,0.47999999
2016,7,0.51999998
2016,8,0.47999999
2016,9,0.44
2016,10,0.5
2016,11,0.44
2016,12,0.34999999
2016,13,0.40000001
2016,14,0.33000001
2016,15,0.31
2016,16,0.36000001
2016,17,0.47
2016,18,0.43000001
2016,19,0.44
2016,20,0.52999997
2016,21,0.56
2016,22,0.55000001
2016,23,0.57999998
2016,24,0.63999999
2016,25,0.69999999
2016,26,0.63999999
2016,27,0.76999998
2016,28,0.91000003
2016,29,0.79000002
2016,30,1
2016,31,0.93000001
2016,32,0.93000001
2016,33,0.88
2016,34,0.86000001
2016,35,0.88
2016,36,0.85000002
2016,37,0.94999999
2016,38,0.83999997
2016,39,1.1799999
2016,40,1.33
2016,41,1.23
2016,42,1.61
2016,43,1.46
2016,44,1.12
2016,45,1.33
2016,46,1.3200001
2016,47,0.98000002
2016,48,1.13
2016,49,1.21
2016,50,1.01
2016,51,0.83999997
2016,52,0.75999999
2017,1,0.67000002
2017,2,0.72000003
2017,3,0.62
2017,4,0.50999999
2017,5,0.49000001
2017,6,0.41999999
2017,7,0.38
2017,8,0.37
2017,9,0.34
2017,10,0.34
2017,11,0.28
2017,12,0.23999999
2017,13,0.25999999
2017,14,0.19
2017,15,0.18000001
2017,16,0.23
2017,17,0.25
2017,18,0.20999999
2017,19,0.25
2017,20,0.22
2017,21,0.23999999
2017,22,0.25
2017,23,0.20999999
2017,24,0.2
2017,25,0.23999999
2017,26,0.22
2017,27,0.25
2017,28,0.25
2017,29,0.25
2017,30,0.25
2017,31,0.25
2017,32,0.23999999
2017,33,0.28999999
2017,34,0.25999999
2017,35,0.31999999
2017,36,0.27000001
2017,37,0.31999999
2017,38,0.30000001
2017,39,0.36000001
2017,40,0.31999999
2017,41,0.34999999
2017,42,0.37
2017,43,0.31999999
2017,44,0.38999999
2017,45,0.51999998
2017,46,0.54000002
2017,47,0.34
2017,48,0.38999999
2017,49,0.37
2017,50,0.37
2017,51,0.36000001
2017,52,0.34999999
2018,1,0.2
2018,2,0.23999999
2018,3,0.25
2018,4,0.2
2018,5,0.15000001
2018,6,0.18000001
2018,7,0.14
2018,8,0.13
2018,9,0.11
2018,10,0.12
2018,11,0.2
2018,12,0.12
2018,13,0.16
2018,14,0.13
2018,15,0.11
2018,16,0.12
2018,17,0.17
2018,18,0.079999998
2018,19,0.14
2018,20,0.18000001
2018,21,0.14
2018,22,0.14
2018,23,0.17
2018,24,0.14
2018,25,0.13
2018,26,0.23
2018,27,0.22
2018,28,0.16
2018,29,0.17
2018,30,0.23
2018,31,0.23999999
2018,32,0.23
2018,33,0.27000001
2018,34,0.20999999
2018,35,0.23
2018,36,0.23
2018,37,0.23999999
2018,38,0.23999999
2018,39,0.25
2018,40,0.30000001
2018,41,0.33000001
2018,42,0.31999999
2018,43,0.34999999
2018,44,0.31
2018,45,0.34999999
2018,46,0.34999999
2018,47,0.33000001
2018,48,0.44
2018,49,0.37
2018,50,0.30000001
2018,51,0.36000001
2018,52,0.33000001
